team_id,solution_id,mean_performance,mean_job_satisfaction,cost,delta_performance_from_baseline,delta_job_satisfaction_from_baseline,policy__Prehire Tests,change__Prehire Tests,policy__Structured Interviews,change__Structured Interviews,policy__Employee Participation,change__Employee Participation,policy__Complaint Procedure,change__Complaint Procedure,policy__Group Bonuses,change__Group Bonuses,policy__Individual Bonuses,change__Individual Bonuses,policy__Performance Evaluation,change__Performance Evaluation,policy__Goals Communication,change__Goals Communication,policy__Suggestion Adoption,change__Suggestion Adoption,policy__Performance Pay,change__Performance Pay,policy__Internal Promotion,change__Internal Promotion,policy__Job Autonomy,change__Job Autonomy,policy__Selective Hiring,change__Selective Hiring,policy__Pay Competitiveness,change__Pay Competitiveness,policy__Job Training,change__Job Training,frontier_rank,setting,team_label,n_active_levers
1100,R1100_S1,6.6322296768749185,6.323377800551751,0.0,0.0,0.0,3.0,0.0,6.0,0.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,7.0,0.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,1,redesign,1100,0
1100,R1100_S2,6.734014525926425,6.38171007407095,1.0,0.10178484905150675,0.05833227351919934,2.0,-1.0,6.0,0.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,7.0,0.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,2,redesign,1100,1
1100,R1100_S3,6.724525368283899,6.447409260779885,1.0,0.09229569140898075,0.12403146022813427,3.0,0.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,7.0,0.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,3,redesign,1100,1
1100,R1100_S4,6.835799374977933,6.44004234759015,2.0,0.2035696981030144,0.11666454703839868,1.0,-2.0,6.0,0.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,7.0,0.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,4,redesign,1100,1
1100,R1100_S5,6.826310217335406,6.5057415342990845,2.0,0.1940805404604875,0.1823637337473336,2.0,-1.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,7.0,0.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,5,redesign,1100,2
1100,R1100_S6,6.778123423609501,6.537596709502815,2.0,0.14589374673458266,0.21421890895106444,3.0,0.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,6.0,-1.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,6,redesign,1100,2
1100,R1100_S7,6.928095066386914,6.564073807818284,3.0,0.29586538951199515,0.24069600726653295,1.0,-2.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,7.0,0.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,7,redesign,1100,2
1100,R1100_S8,6.879908272661008,6.595928983022015,3.0,0.24767859578608942,0.2725511824702638,2.0,-1.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,6.0,-1.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,8,redesign,1100,3
1100,R1100_S9,6.831721478935103,6.6277841582257455,3.0,0.19949180206018458,0.3044063576739946,3.0,0.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,5.0,-2.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,9,redesign,1100,2
1100,R1100_S10,6.981693121712515,6.654261256541214,4.0,0.34946344483759617,0.3308834559894631,1.0,-2.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,6.0,-1.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,10,redesign,1100,3
1100,R1100_S11,6.93350632798661,6.686116431744945,4.0,0.30127665111169133,0.36273863119319394,2.0,-1.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,5.0,-2.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,11,redesign,1100,3
1100,R1100_S12,6.885319534260704,6.717971606948676,4.0,0.2530898573857856,0.39459380639692476,3.0,0.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,4.0,-3.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,12,redesign,1100,2
1100,R1100_S13,7.0,6.744448705264144,5.0,0.3677703231250815,0.4210709047123933,1.0,-2.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,5.0,-2.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,13,redesign,1100,3
1100,R1100_S14,6.987104383312211,6.776303880467875,5.0,0.35487470643729235,0.4529260799161241,2.0,-1.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,4.0,-3.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,14,redesign,1100,3
1100,R1100_S15,6.938917589586306,6.808159055671606,5.0,0.3066879127113875,0.4847812551198549,3.0,0.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,3.0,-4.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,15,redesign,1100,2
1100,R1100_S17,7.0,6.866491329190806,6.0,0.3677703231250815,0.5431135286390552,2.0,-1.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,3.0,-4.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,16,redesign,1100,3
1100,R1100_S18,6.992515644911908,6.898346504394537,6.0,0.3602859680369894,0.574968703842786,3.0,0.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,2.0,-5.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,17,redesign,1100,2
1100,R1100_S21,7.0,6.988533953117466,7.0,0.3677703231250815,0.6651561525657153,3.0,0.0,7.0,1.0,6.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,1.0,-6.0,5.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,18,redesign,1100,2
